Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
verify whether admin can rebuild the solution or not,UN-46,10070,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,06/Sep/21 8:46 AM,07/Sep/21 11:48 AM,07/Sep/21 11:48 AM,07/Sep/21 11:48 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-45,UN-7,,,,,,,,{},,,,,,,0|i0006m:zwxr,,UN Sprint 1,,,,,,,,Done
As a admin I have to rebuild the solution in category,UN-45,10069,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,06/Sep/21 8:45 AM,07/Sep/21 11:48 AM,07/Sep/21 11:48 AM,07/Sep/21 11:48 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-7,,,,,,,,,{},,,,,,,0|i0006m:zwxi,,UN Sprint 1,,,,,,,,Done
Verify whether given list renders or not(pagination) Category,UN-44,10068,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,06/Sep/21 3:47 AM,08/Sep/21 9:12 AM,08/Sep/21 9:12 AM,07/Sep/21 11:48 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-43,UN-7,,,,,,,,{},,,,,,,0|i0006m:zwy,,UN Sprint 1,,,,,,,,Done
As a admin I have to check whether given list below is rendering or not,UN-43,10067,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,06/Sep/21 3:46 AM,07/Sep/21 11:49 AM,08/Sep/21 9:11 AM,07/Sep/21 11:49 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006m:zwx,,UN Sprint 1,,,,,,,,Done
As a admin I have to sort coupon according to field,UN-42,10066,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,03/Sep/21 6:57 AM,08/Sep/21 3:41 AM,07/Sep/21 11:53 AM,07/Sep/21 11:52 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006m:zw9,,UN Sprint 1,,,,,,,,Done
verify sorting  the coupon list according to fields,UN-41,10065,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,03/Sep/21 6:55 AM,09/Sep/21 5:00 AM,07/Sep/21 11:48 AM,07/Sep/21 11:48 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-42,,,,,,,,,{},,,,,,,0|i0006m:zwu,,UN Sprint 1,,,,,,,,Done
verify that all the category name and sort order is visible,UN-40,10064,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,03/Sep/21 5:54 AM,07/Sep/21 11:48 AM,07/Sep/21 11:48 AM,07/Sep/21 11:48 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-33,,,,,,,,,{},,,,,,,0|i0006m:zwt,,UN Sprint 1,,,,,,,,Done
verify that admin can add all data and design of product in category,UN-39,10063,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,03/Sep/21 4:08 AM,07/Sep/21 11:53 AM,07/Sep/21 11:53 AM,07/Sep/21 11:53 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-30,,,,,,,,,{},,,,,,,0|i0006m:zwti,,UN Sprint 1,,,,,,,,Done
verify date and status in coupon,UN-38,10062,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 12:11 PM,09/Sep/21 5:00 AM,08/Sep/21 9:06 AM,07/Sep/21 11:50 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-33,,,,,,,,,{},,,,,,,0|i0006m:zwr,,UN Sprint 1,,,,,,,,Done
verify products and category in coupon,UN-37,10061,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 12:11 PM,09/Sep/21 5:00 AM,08/Sep/21 9:10 AM,07/Sep/21 11:47 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-33,,,,,,,,,{},,,,,,,0|i0006m:zwi,,UN Sprint 1,,,,,,,,Done
verify buttons cust login and free shiping in coupon,UN-36,10060,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 12:10 PM,09/Sep/21 5:00 AM,07/Sep/21 11:53 AM,07/Sep/21 11:52 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-33,,,,,,,,,{},,,,,,,0|i0006m:zw,,UN Sprint 1,,,,,,,,Done
verify the type in coupon,UN-35,10059,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 12:09 PM,09/Sep/21 5:00 AM,08/Sep/21 9:05 AM,07/Sep/21 11:47 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-33,,,,,,,,,{},,,,,,,0|i0006m:zv,,UN Sprint 1,,,,,,,,Done
verify  whether admin can add coupon  name and code for coupon,UN-34,10058,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 12:09 PM,09/Sep/21 5:00 AM,07/Sep/21 11:49 AM,07/Sep/21 11:49 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-33,,,,,,,,,{},,,,,,,0|i0006m:zx,,UN Sprint 1,,,,,,,,Done
As a admin I have to add all details in coupon,UN-33,10057,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 12:06 PM,07/Sep/21 11:52 AM,07/Sep/21 11:52 AM,07/Sep/21 11:52 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-15,,,,,,,,,{},,,,,,,0|i0006m:zu,,UN Sprint 1,,,,,,,,Done
To verify meta tag and its description and its keywords in category,UN-32,10056,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 12:00 PM,07/Sep/21 11:47 AM,08/Sep/21 8:57 AM,07/Sep/21 11:47 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-30,UN-7,,,,,,,,{},,,,,,,0|i0006m:zp,,UN Sprint 1,,,,,,,,Done
To verify category name  in category,UN-31,10055,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 12:00 PM,08/Sep/21 8:55 AM,08/Sep/21 8:54 AM,07/Sep/21 11:52 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-30,UN-7,,,,,,,,{},,,,,,,0|i0006m:zf,,UN Sprint 1,,,,,,,,Done
As a admin I have to add all details in category,UN-30,10054,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 11:59 AM,07/Sep/21 11:47 AM,09/Sep/21 5:11 AM,07/Sep/21 11:47 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-7,,,,,,,,,{},,,,,,,0|i0006m:yv,,UN Sprint 1,,,,,,,,Done
